Conjunto,Metodo 1,Metodo 2,Metodo 3,Metodo 4,Metodo 5,Metodo 6,Metodo 7,Metodo 8,Metodo 9,Metodo 10,Metodo 11,Metodo 12,Metodo 13,Metodo 14,Metodo 15,Metodo 16,Metodo 17,Metodo 18,Metodo 19,Metodo 20,Metodo 21,Metodo 22,Score Global
"(area error, mean perimeter)",Si,Si,Si,No,Si,Si,Si,No,No,No,No,Si,No,No,Si,Si,Si,Si,No,No,Si,No,0.889192
"(area error, mean perimeter, mean radius)",No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,Si,No,0.892739
"(area error, mean perimeter, mean symmetry)",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.887967
"(area error, mean perimeter, mean texture)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.890116
"(area error, mean perimeter, perimeter error)",No,No,No,Si,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,0.896832
"(area error, mean perimeter, radius error)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,0.896539
"(area error, mean perimeter, smoothness error)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,0.896244
"(area error, mean radius)",No,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,0.884977
"(area error, mean radius, mean texture)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.88664
"(area error, mean radius, radius error)",No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,0.896539
"(area error, mean smoothness)",No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,0.864483
"(area error, mean symmetry)",No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,0.850251
"(area error, mean symmetry, perimeter error)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,0.841046
"(area error, mean symmetry, radius error)",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.840326
"(area error, mean texture)",No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,Si,Si,No,No,No,No,Si,No,0.858155
"(area error, mean texture, perimeter error)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.869053
"(area error, mean texture, radius error)",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,0.852449
"(area error, mean texture, smoothness error)",No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,0.857948
"(area error, perimeter error)",No,Si,Si,No,Si,Si,Si,No,Si,No,Si,Si,No,No,Si,No,Si,Si,No,Si,Si,No,0.854524
"(area error, perimeter error, radius error)",No,No,No,No,No,Si,No,No,No,No,Si,Si,No,No,No,No,No,Si,No,Si,Si,No,0.848379
"(area error, perimeter error, smoothness error)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,Si,No,No,0.855198
"(area error, radius error)",No,No,No,No,Si,Si,Si,Si,No,No,Si,Si,No,No,No,No,Si,Si,No,Si,Si,No,0.854524
"(area error, radius error, smoothness error)",No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,0.867997
