dataset,dataset_desc,dataset_n_samples,dataset_n_dims,run_index,finder_runtime_s,mean_f1,mean_lift_precision,total_regions,per_class,valuable_counts,params_json
corner,Corner 4D dataset canonico,200,4,20,0.077621,0.522419,1.702640,24,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7545787545782613, ""mean_lift_precision"": 1.0271002710027102}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 8, ""2"": 8, ""3"": 8}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 3, ""max_rules_per_dim"": 8, ""min_abs_gain_f1"": 0.0389937772928812, ""min_abs_gain_prec"": 0.004206998249752442, ""min_lift_prec"": 1.2603923420001721, ""min_rel_gain_f1"": 0.07107982751694426, ""min_support"": 9, ""rng_seed"": 8445, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 153}"
corner,Corner 4D dataset canonico,200,4,21,0.052313,0.551692,1.662398,21,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 11, ""2"": 10}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 14, ""min_abs_gain_f1"": 0.014196048736873286, ""min_abs_gain_prec"": 0.02428068767931133, ""min_lift_prec"": 1.1290919055343134, ""min_rel_gain_f1"": 0.07791944310367006, ""min_support"": 8, ""rng_seed"": 6944, ""sample_limit_per_r"": 1700, ""union_max_pairs_per_bucket"": 117}"
corner,Corner 4D dataset canonico,200,4,22,0.071101,0.522419,1.702640,27,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7545787545782613, ""mean_lift_precision"": 1.0271002710027102}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 9, ""2"": 9, ""3"": 9}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 9, ""min_abs_gain_f1"": 0.0424611705247089, ""min_abs_gain_prec"": 0.028415430166773583, ""min_lift_prec"": 1.2664690279971338, ""min_rel_gain_f1"": 0.05232099902472996, ""min_support"": 13, ""rng_seed"": 3446, ""sample_limit_per_r"": 1100, ""union_max_pairs_per_bucket"": 164}"
corner,Corner 4D dataset canonico,200,4,23,0.073988,0.522419,1.702640,30,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7545787545782613, ""mean_lift_precision"": 1.0271002710027102}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 11, ""2"": 10, ""3"": 9}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 3, ""max_rules_per_dim"": 11, ""min_abs_gain_f1"": 0.04460232775885567, ""min_abs_gain_prec"": 0.039740565177082424, ""min_lift_prec"": 1.2561440641389325, ""min_rel_gain_f1"": 0.03205472024867407, ""min_support"": 11, ""rng_seed"": 7022, ""sample_limit_per_r"": 500, ""union_max_pairs_per_bucket"": 77}"
corner,Corner 4D dataset canonico,200,4,24,0.074113,0.522419,1.702640,29,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7545787545782613, ""mean_lift_precision"": 1.0271002710027102}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 10, ""2"": 10, ""3"": 9}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 10, ""min_abs_gain_f1"": 0.038427700715315455, ""min_abs_gain_prec"": 0.049727525539867055, ""min_lift_prec"": 1.0270054709842291, ""min_rel_gain_f1"": 0.04618833173752546, ""min_support"": 8, ""rng_seed"": 3444, ""sample_limit_per_r"": 1700, ""union_max_pairs_per_bucket"": 95}"
corner,Corner 4D dataset canonico,200,4,25,0.062229,0.551692,1.662398,21,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 11, ""2"": 10}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 14, ""min_abs_gain_f1"": 0.021409207415865716, ""min_abs_gain_prec"": 0.04818099885446264, ""min_lift_prec"": 1.386995379427031, ""min_rel_gain_f1"": 0.07433716644443031, ""min_support"": 10, ""rng_seed"": 8319, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 116}"
corner,Corner 4D dataset canonico,200,4,26,0.052539,0.551692,1.662398,21,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 11, ""2"": 10}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 11, ""min_abs_gain_f1"": 0.003520806542477195, ""min_abs_gain_prec"": 0.03355717584120253, ""min_lift_prec"": 1.0914782998699906, ""min_rel_gain_f1"": 0.07447132995005572, ""min_support"": 15, ""rng_seed"": 154, ""sample_limit_per_r"": 800, ""union_max_pairs_per_bucket"": 176}"
corner,Corner 4D dataset canonico,200,4,27,0.063016,0.551692,1.662398,12,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 1, ""mean_f1"": 0.8571428571423673, ""mean_lift_precision"": 1.0}, ""2"": {""count"": 3, ""mean_f1"": 0.40215053763408726, ""mean_lift_precision"": 2.0134680134680134}}","{""1"": 6, ""2"": 6}","{""consider_dims_up_to"": 2, ""enable_unions"": false, ""max_planes_in_rule"": 2, ""max_planes_per_pair"": 3, ""max_rules_per_dim"": 6, ""min_abs_gain_f1"": 0.03512420419935546, ""min_abs_gain_prec"": 0.014679592213224669, ""min_lift_prec"": 1.1502015489757045, ""min_rel_gain_f1"": 0.05606424353862617, ""min_support"": 13, ""rng_seed"": 1841, ""sample_limit_per_r"": 800, ""union_max_pairs_per_bucket"": 148}"
corner,Corner 4D dataset canonico,200,4,28,0.063229,0.530272,1.705683,31,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7781364243453156, ""mean_lift_precision"": 1.036230765271988}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 12, ""2"": 12, ""3"": 7}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 12, ""min_abs_gain_f1"": 0.009713697675602113, ""min_abs_gain_prec"": 0.01983919136069442, ""min_lift_prec"": 1.0376669576299717, ""min_rel_gain_f1"": 0.05060365878094225, ""min_support"": 14, ""rng_seed"": 6614, ""sample_limit_per_r"": 1400, ""union_max_pairs_per_bucket"": 164}"
corner,Corner 4D dataset canonico,200,4,29,0.074037,0.522419,1.702640,21,"{""0"": {""count"": 3, ""mean_f1"": 0.39578386035047197, ""mean_lift_precision"": 1.9737267844431503}, ""1"": {""count"": 3, ""mean_f1"": 0.7545787545782613, ""mean_lift_precision"": 1.0271002710027102}, ""2"": {""count"": 3, ""mean_f1"": 0.4168944778564223, ""mean_lift_precision"": 2.107092429673075}}","{""1"": 7, ""2"": 7, ""3"": 7}","{""consider_dims_up_to"": 3, ""enable_unions"": false, ""max_planes_in_rule"": 1, ""max_planes_per_pair"": 2, ""max_rules_per_dim"": 7, ""min_abs_gain_f1"": 0.03360130676475997, ""min_abs_gain_prec"": 0.00775208083638721, ""min_lift_prec"": 1.1379795403151454, ""min_rel_gain_f1"": 0.03563945571842887, ""min_support"": 7, ""rng_seed"": 7509, ""sample_limit_per_r"": 1700, ""union_max_pairs_per_bucket"": 107}"
