dim_k,target_class,region_id,dims,is_pareto,f1,precision,recall,lift_precision,support,min_lift_precision_all_classes,min_precision_all_classes,compass_score
3,2,rg_3d_c2_c6286eaa61,"(1, 2, 3)",True,0.6543075245360919,0.4862236628849271,1.0,3.8897893030794166,3085,0.2126418152350081,0.026580226904376014,0.8149273392567798
3,2,rg_3d_c2_106c466ec4,"(1, 2, 3)",True,0.6538796861373105,0.48575129533678757,1.0,3.8860103626943006,3088,0.21243523316062177,0.02655440414507772,0.8142219059562192
4,0,rg_4d_c0_38dd48a6d6,"(0, 1, 2, 3)",False,0.6264531695542853,0.4668192219679634,0.952,3.734553775743707,3059,0.2301405688133377,0.02876757110166721,0.8135298702753205
2,1,rg_2d_c1_ac7176019f,"(0, 3)",True,0.795029725241855,0.7674490745527867,0.8246666666666667,1.023265432737049,9671,0.6543273704890911,0.08179092131113638,0.8104425837065513
2,1,rg_2d_c1_ac7176019f,"(0, 3)",True,0.795029725241855,0.7674490745527867,0.8246666666666667,1.023265432737049,9671,0.6543273704890911,0.08179092131113638,0.8104425837065513
4,0,rg_4d_c0_f0334cdee1,"(0, 1, 2, 3)",False,0.6216804527640355,0.46153846153846156,0.952,3.6923076923076925,3094,0.22495151906916613,0.028118939883645767,0.8022653016832013
4,0,rg_4d_c0_d7447df4b4,"(0, 1, 2, 3)",False,0.6189856957082738,0.45857418111753373,0.952,3.66859344894027,3114,0.22607578676942838,0.028259473346178548,0.8007152194192598
3,2,rg_3d_c2_40d84e9fc6,"(1, 2, 3)",True,0.6542669584240667,0.48697068403908794,0.9966666666666667,3.8957654723127035,3070,0.19022801302931597,0.023778501628664496,0.7856107568995008
4,0,rg_4d_c0_f3990ac10a,"(0, 1, 2, 3)",False,0.6034227762514157,0.4416950201051655,0.952,3.533560160841324,3233,0.2177544076708939,0.02721930095886174,0.7743436019592762
2,2,rg_2d_c2_a8fe2c43f9,"(0, 1)",False,0.47405736384107716,0.3125796855078623,0.9806666666666667,2.5006374840628984,4706,0.3909902252443689,0.04887377815554611,0.7738958386423213
2,2,rg_2d_c2_1923c00d80,"(0, 1)",False,0.47436310867425435,0.3128455976180349,0.9806666666666667,2.502764780944279,4702,0.38621863037005527,0.04827732879625691,0.7711189695946654
3,2,rg_3d_c2_272a33a942,"(1, 2, 3)",True,0.6549835706457799,0.48776508972267535,0.9966666666666667,3.902120717781403,3065,0.17748776508972267,0.022185970636215333,0.7683631164655695
1,0,rg_1d_c0_77f92ad529,"(2,)",True,0.33855230315379065,0.20399234345091605,0.9946666666666667,1.6319387476073284,7314,0.81214109926169,0.18690183210281652,0.7655737581910345
1,2,rg_1d_c2_cf92ca4d12,"(2,)",True,0.33594370672994106,0.20243468745725618,0.9866666666666667,1.6194774996580494,7311,0.8214106597364701,0.1815073177403912,0.7645406608639865
1,0,rg_1d_c0_ef0dc16bdb,"(2,)",True,0.3362253521123952,0.20230508474576273,0.9946666666666667,1.6184406779661018,7375,0.81645197740113,0.18535593220338983,0.7630493544253292
1,2,rg_1d_c2_23c2fcdd01,"(0,)",True,0.33359279439536305,0.20018684105164822,1.0,1.6014947284131857,7493,0.8050180168156946,0.1960496463365808,0.754830184030847
1,2,rg_1d_c2_2e91c507c4,"(3,)",True,0.33171163202095283,0.19883351007423117,1.0,1.5906680805938493,7544,0.807705903145988,0.19538706256627783,0.7525427476821065
4,2,rg_4d_c2_eb949bd6b3,"(0, 1, 2, 3)",False,0.6279742050251279,0.4711378044711378,0.9413333333333334,3.7691024357691023,2997,0.15749082415749083,0.019686353019686353,0.7196892247159761
2,2,rg_2d_c2_6e3f3b9a7d,"(1, 3)",True,0.6544262295077559,0.4868292682926829,0.998,3.8946341463414633,3075,0.1404878048780488,0.0175609756097561,0.7101040623786564
1,2,rg_1d_c2_549ab53a6e,"(1,)",False,0.36904908352780824,0.2262784733745663,1.0,1.8102277869965304,6629,0.5237592397043295,0.06546990496304118,0.7046655151555169
4,2,rg_4d_c2_051e7224ee,"(0, 1, 2, 3)",False,0.6232619730739336,0.46585285384361597,0.9413333333333334,3.7268228307489277,3031,0.14780600461893764,0.018475750577367205,0.700218883099401
1,2,rg_1d_c2_c5a28e1bc9,"(0,)",False,0.2567833604380198,0.14730433074732396,1.0,1.1784346459785917,10183,0.9405217846738028,0.14730433074732396,0.6577796193841582
1,0,rg_1d_c0_65efc64a1b,"(2,)",True,0.23196474135910833,0.13119916032537393,1.0,1.0495932826029915,11433,0.9834689057990028,0.13119916032537393,0.620966089584084
1,0,rg_1d_c0_65efc64a1b,"(2,)",True,0.23196474135910833,0.13119916032537393,1.0,1.0495932826029915,11433,0.9834689057990028,0.13119916032537393,0.620966089584084
1,0,rg_1d_c0_e18071d60c,"(2,)",True,0.2308757888254076,0.13050287106316338,1.0,1.044022968505307,11494,0.9853256771648976,0.13050287106316338,0.6192833665031029
1,0,rg_1d_c0_e18071d60c,"(2,)",True,0.2308757888254076,0.13050287106316338,1.0,1.044022968505307,11494,0.9853256771648976,0.13050287106316338,0.6192833665031029
1,0,rg_1d_c0_26dca66819,"(2,)",False,0.23002606962102018,0.12996014555536303,1.0,1.0396811644429043,11542,0.9867729451856987,0.12996014555536303,0.6179663438848031
1,0,rg_1d_c0_ee5f014cf6,"(2,)",False,0.22895520109878217,0.12927691114366974,1.0,1.034215289149358,11603,0.9885949036168807,0.12927691114366974,0.6163015759293445
1,0,rg_1d_c0_7b48ce9fa5,"(3,)",True,0.2243493867781436,0.1263477088948787,1.0,1.0107816711590296,11872,0.9964061096136567,0.1263477088948787,0.6090779475207982
1,0,rg_1d_c0_c2dc5fde7a,"(2,)",False,0.22341376228755844,0.12575452716297786,1.0,1.0060362173038229,11928,0.9979879275653923,0.12575452716297786,0.6075979153856681
1,2,rg_1d_c2_a120e62110,"(0,)",False,0.22326412145548372,0.12565971349585323,1.0,1.0052777079668258,11937,0.998240764011058,0.12565971349585323,0.6073608070178003
